CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,DISTRACTN,CASEWGT,PSUSTRAT,VERSION
16925,23,10,1-23-2020-010-06,6,1,99,276.401541902003,5,5
16959,22,25,1-22-2020-025-03,3,1,3,29.2424072422433,12,5
16960,22,26,1-22-2020-026-08,8,1,1,35.1289230230615,12,5
16368,76,12,1-76-2020-012-08,8,1,99,25.3719372809981,3,5
16561,29,26,1-29-2020-026-09,9,1,10,278.459143020108,2,5
16564,29,29,1-29-2020-029-03,3,1,3,42.6551279342752,2,5
16678,21,23,1-21-2020-023-06,6,1,2,163.387644147269,11,5
16679,21,24,1-21-2020-024-06,6,1,99,163.387644147269,11,5
16650,76,18,1-76-2020-018-02,2,2,99,15.9010773593936,3,5
16653,66,13,1-66-2020-013-05,5,1,99,156.317923666252,6,5
16218,33,3,1-33-2020-003-08,8,1,7,53.4278758747199,12,5
16463,29,21,1-29-2020-021-06,6,1,10,90.1206971356379,2,5
20419,24,200,1-24-2020-200-10,10,1,9,427.827371649638,1,5
17417,22,40,1-22-2020-040-06,6,1,1,61.2029820194079,12,5
17393,26,62,1-26-2020-062-04,4,1,99,1352.05716083061,10,5
17335,76,32,1-76-2020-032-02,2,1,99,14.8756328479644,3,5
17340,10,65,1-10-2020-065-05,5,1,99,138.14276464255,4,5
16644,25,17,1-25-2020-017-04,4,1,1,453.608944812502,2,5
17343,14,30,1-14-2020-030-06,6,1,10,605.548410040722,8,5
16757,19,35,1-19-2020-035-07,7,1,3,771.469602704881,9,5
16760,29,34,1-29-2020-034-07,7,2,9,196.534329003822,2,5
16693,77,25,1-77-2020-025-02,2,1,1,101.856800764656,9,5
16697,10,35,1-10-2020-035-08,8,1,10,220.264388773469,4,5
16663,19,31,1-19-2020-031-02,2,1,1,44.8387754761066,9,5
19063,48,53,1-48-2020-053-10,10,1,99,12220.7168597261,12,5
19065,24,134,1-24-2020-134-04,4,1,1,711.884051859982,1,5
16604,17,23,1-17-2020-023-06,6,1,1,152.740171839494,4,5
16609,10,31,1-10-2020-031-06,6,1,9,265.463956017373,4,5
16863,22,23,1-22-2020-023-06,6,2,10,41.4139416737204,12,5
16867,33,19,1-33-2020-019-04,4,1,7,225.607630716954,12,5
18296,14,49,1-14-2020-049-07,7,1,99,3230.67597105215,8,5
16984,77,33,1-77-2020-033-02,2,3,4,107.16136901172,9,5
16984,77,33,1-77-2020-033-02,2,1,7,107.16136901172,9,5
16629,52,32,1-52-2020-032-04,4,1,9,159.315363581153,12,5
16630,52,33,1-52-2020-033-09,9,1,1,309.828444629117,12,5
17041,23,13,1-23-2020-013-07,7,1,2,247.644809186141,5,5
17042,26,46,1-26-2020-046-03,3,1,9,733.139508561095,10,5
17046,33,23,1-33-2020-023-07,7,1,10,171.878342062171,12,5
17048,33,25,1-33-2020-025-08,8,1,1,25.7465793820285,12,5
16601,77,23,1-77-2020-023-02,2,1,9,115.984887087414,9,5
16522,24,24,1-24-2020-024-03,3,1,9,407.575488188719,1,5
16524,24,26,1-24-2020-026-06,6,1,99,640.767790952977,1,5
17030,29,49,1-29-2020-049-07,7,1,9,27.4853411400626,2,5
17061,20,20,1-20-2020-020-03,3,1,9,237.023308109032,11,5
16913,32,41,1-32-2020-041-01,1,1,6,55.6528587516652,7,5
16529,28,12,1-28-2020-012-03,3,1,10,34.2731829497023,3,5
16533,52,28,1-52-2020-028-10,10,1,10,371.217938971843,12,5
16917,25,26,1-25-2020-026-08,8,1,99,85.9839626798016,2,5
17075,14,23,1-14-2020-023-04,4,1,9,760.346590363106,8,5
17078,17,46,1-17-2020-046-03,3,1,10,66.8089632796433,4,5
17080,17,48,1-17-2020-048-06,6,1,9,110.735304598754,4,5
17086,10,54,1-10-2020-054-02,2,1,1,22.496088531018,4,5
17116,26,51,1-26-2020-051-06,6,1,3,151.360129944502,10,5
16584,22,16,1-22-2020-016-07,7,1,3,144.748294891156,12,5
16556,19,26,1-19-2020-026-10,10,1,3,3409.00716094748,9,5
16557,19,27,1-19-2020-027-03,3,1,7,120.103284023968,9,5
16557,19,27,1-19-2020-027-03,3,1,9,120.103284023968,9,5
